f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
0.0,0.0,0.0,-0.25737066686433224,-0.10987945651037088,-0.09949185785708932,-0.5282368900408959,-0.44980024195554014,-0.13301511138725286,-0.5947604912698609,-0.7768774026555016,-0.17640054133223318,-0.4046682455226398,-0.9020722096923464,-0.18952487474865493,-0.3936481959656133,-0.9130930612741478,0.05802885491081958,-0.5158948745049027,-1.0523817351052973,-0.07564182513696387,-0.4713155877168746,-0.7517556952063569,-0.12572560846130684,-0.41495799423463836,-0.7146457797219166,-0.1439523232425293,-0.21779624382159987,-0.9759942603198044,0.04169327158319237,-0.3438025853556729,-1.08697592802082,-0.11563625136806485,-0.3052868350158051,-0.6975615062669226,-0.10703882505764839,-0.23590435918923436,-0.6924232772590582,-0.04792193336626461,-0.03215844367415925,-0.9736113301386163,-0.014693118706000626,-0.14535919935234828,-1.0334483362442934,-0.17290153638929132,-0.13600415322800882,-0.6802350213299095,-0.10521817869208276,-0.07554890059585367,-0.6866195968379646,-0.0059191269994372546,0.16964359293650014,-0.9333760386813684,-0.08508661210486596,0.05133737669124965,-1.025937145077443,-0.14332804720836848,0.032233375703128245,-0.8034145692573726,-0.08361771805151227,0.07960027145876418,-0.7835678933276962,-0.014365490690338085,G
0.0,0.0,0.0,-0.23079078712891818,-0.12565823158989878,-0.12953107664267174,-0.3882890481109232,-0.40875338301023634,-0.2148941154566947,-0.2690670037513664,-0.6653008342482367,-0.30263802666951417,-0.10477818903033108,-0.8255124482547375,-0.3826873468569338,-0.34851593086895977,-0.9527721693340881,-0.14515088101308524,-0.47176464672107754,-1.352150175151976,-0.26511114296332094,-0.5354877325720361,-1.6050515789494,-0.3369058583027685,-0.581389448680013,-1.8250776559333195,-0.38183485930630034,-0.14879311309858592,-0.9888683479080678,-0.1695583707651471,-0.16481573079995662,-1.4603784729804703,-0.29990213959788287,-0.1598457736133468,-1.7675346911026577,-0.3730661913365247,-0.14440346968398743,-2.030015133541695,-0.40487676373678166,0.03852599426119985,-0.9044236473638169,-0.20842877463048695,0.014946499729469792,-0.9884866205979614,-0.37429773079631934,-0.04948311262262196,-0.7031763475208854,-0.38711521816544897,-0.0815687272726174,-0.5004058895151424,-0.3462849038283717,0.2023185634790969,-0.7512141920040875,-0.2589400962410752,0.15721119321874008,-0.8142486241354843,-0.3742856501198868,0.0814570775507019,-0.6048486880764783,-0.3526833872124047,0.03547592685796295,-0.44143056466508446,-0.3067193646020051,C
0.0,0.0,0.0,-0.264185649465812,-0.1342878778578211,-0.11605554809874168,-0.48980892189780517,-0.3977668734081194,-0.17852966807905057,-0.6562956390364245,-0.6382002282512633,-0.2329227364514051,-0.8083577213541732,-0.805719102705215,-0.2875797794868633,-0.30411363680276404,-0.9282263357343551,-0.09831508910266487,-0.4193680524935046,-1.3023040815162068,-0.18541860377024366,-0.4769192021187193,-1.5388621196448113,-0.2598264787180426,-0.5091580041931586,-1.7481775643190298,-0.3169257372372055,-0.11534852162415349,-0.9933250820145046,-0.11374429939137486,-0.19025448122979358,-1.4293230280059344,-0.18632356767785804,-0.23410827590765967,-1.7045394827853337,-0.2564554237060602,-0.26814690767205285,-1.933020954377582,-0.3106610053429252,0.07791928315841591,-0.9596422480257547,-0.14700165585441308,0.0742869660116617,-1.3746488772422845,-0.23720093076501053,0.05315567203215316,-1.6484025004060636,-0.3079300801605365,0.022817895754145973,-1.884382582002977,-0.35841700030820367,0.2701257105184746,-0.844381816430595,-0.1893157549950186,0.35640581169704866,-1.1344822633040084,-0.2724302013267763,0.3906150373224689,-1.3382868172497473,-0.315125800120387,0.40090631609996685,-1.5299971473489604,-0.34522420248729,G
0.0,0.0,0.0,-0.19959303303410994,-0.42821527113150365,-0.15137323216565143,-0.2804445101307643,-0.9588701014902885,-0.21853887535678354,-0.30189460646911737,-1.3431900428055592,-0.2610020390223413,-0.2883255481635416,-1.6617577048084307,-0.2706811617170624,0.13358418211983936,-1.1964224795005292,-0.16548690741447009,-0.32272991462407236,-0.9747860112212888,-0.32776950440002595,-0.3210352851514348,-0.742465753890958,-0.4213796123569412,-0.1740948980570718,-0.7334365647707858,-0.4764692103458797,0.2879400076627529,-0.9576484490600785,-0.16436549961305305,-0.23592592171616208,-0.6601057232118411,-0.29930177172268,-0.2078806509855078,-0.5004673643579792,-0.3231094782796672,-0.06852975570539509,-0.5443044942261839,-0.33191672886563267,0.378780016684873,-0.6329506657707472,-0.18749094498351426,-0.11187341559172556,-0.3604377429233951,-0.31854665700208346,-0.0871141193915355,-0.26847499405879394,-0.27732528007974194,0.03252693996802951,-0.331406625185763,-0.23429422290721985,0.43018614542788136,-0.2861614937579806,-0.2293755075812468,0.04074378896853843,-0.09055584026179389,-0.334631052850234,0.04859559040770525,-0.06611049589392574,-0.3306839760932224,0.1589462439789521,-0.14145019199702247,-0.3051345404577696,G
0.0,0.0,0.0,-0.27663626090560134,-0.1581845974231317,-0.13481624673738166,-0.5042375313057906,-0.421585000277506,-0.2267732185838931,-0.6879050298894342,-0.655903362972914,-0.307535212714672,-0.8611693803026579,-0.8124714365387452,-0.3923455744208692,-0.29455739378914353,-0.9506270042544883,-0.17100582779218945,-0.39314605830633936,-1.3629747563117514,-0.29246066173216584,-0.4478356310575618,-1.6174290066203736,-0.38730604829071613,-0.48347740278227513,-1.845479275300316,-0.45673797507126757,-0.09272708571953216,-0.9956915624700065,-0.19330381335516428,-0.13406223799663358,-1.462935450329713,-0.30471190437882467,-0.17222850065269288,-1.7590383822476419,-0.39627525765134075,-0.20932618425049376,-2.025028192753027,-0.4624203555451148,0.10356980353095574,-0.9378612776388318,-0.23081210333298308,0.13149071224669898,-1.3865543729467933,-0.3498678499463586,0.13123104536803903,-1.6815378978573436,-0.4264618845148238,0.11826070645400602,-1.9497922072899407,-0.4780897777700936,0.2898970452431772,-0.7992843473086354,-0.27712289458457395,0.38480984115002737,-1.1201088449018566,-0.38048231483998773,0.434470589817953,-1.3363701722655421,-0.42112576267090923,0.4618103909362945,-1.5424037024645139,-0.44680650268242017,G
0.0,0.0,0.0,-0.2187744464590345,-0.1741695966728428,-0.11293219329497223,-0.4179286385239594,-0.48116383460664774,-0.1749188330048132,-0.44036639684029927,-0.8083669916490246,-0.24359137342922974,-0.28659789749392145,-1.0301356603667926,-0.2805139851737126,-0.3417042879417909,-0.942035028900889,0.027110817097807167,-0.4431056499782637,-1.1333344119980902,-0.14535937626931356,-0.42289982284596983,-0.8365268088342668,-0.2193489861312988,-0.37115179432464873,-0.7553005920116371,-0.24287238488770457,-0.1557816137476742,-0.9877915209284651,0.010463878817537112,-0.2526891450305914,-1.148793342010692,-0.17118122829555368,-0.2454446446112758,-0.7592930469195012,-0.1807974231727884,-0.1891944607848815,-0.7247704182428268,-0.13112824327921205,0.03714914360265688,-0.961156523736927,-0.04659814946298054,-0.04562734255688796,-1.0729207631912263,-0.23156734662132697,-0.06719625553911446,-0.7082086040763012,-0.16697148772780843,-0.024321485402619147,-0.6846460799277625,-0.06531941547058404,0.23971259628055233,-0.8841211239926104,-0.11684294124316354,0.14402901191505849,-0.985427586141782,-0.20186689279449715,0.1015975836079602,-0.7457342552518849,-0.14208301117521402,0.12755448661730362,-0.706460210413266,-0.06567613736838583,G
0.0,0.0,0.0,-0.23015590605986957,-0.15085031031424054,-0.12114081769821164,-0.4126838950378992,-0.433820874907386,-0.21051601869478515,-0.3769001633205859,-0.7196148786547112,-0.30341803414130647,-0.2504096670694311,-0.9572312401455642,-0.3900894547257841,-0.3570591652407824,-0.977486642825869,-0.12010795028958733,-0.47210346402047837,-1.4047347371256431,-0.26255693728583324,-0.529045751851334,-1.664860397965232,-0.3547289809047666,-0.5665898236543083,-1.9038208187461096,-0.42122664261287235,-0.15185172946768744,-0.9884032842203997,-0.14438780619280692,-0.24617861251501993,-1.1228708931379112,-0.3540904003011503,-0.2565192620030248,-0.7932928270921172,-0.4026596396610107,-0.22433336898197118,-0.6276236240263898,-0.3931400307535266,0.044882574550165595,-0.926289968072366,-0.18831538276134888,-0.027195683010036484,-1.028835992958504,-0.37802519753500086,-0.08020663845933933,-0.7269615897556192,-0.3297664098389286,-0.07279121171160222,-0.6002361000637726,-0.25360766238392024,0.23589518697864065,-0.8086569890547901,-0.2458351575917288,0.1696225807401196,-0.9460444266515554,-0.35625007679513254,0.08823511196752379,-0.7169799971116254,-0.30328696432177893,0.06866710027990111,-0.5861456400735517,-0.23748770159500054,G
0.0,0.0,0.0,-0.24722863851646237,-0.1495101027085321,-0.11507085244961748,-0.3984508294600088,-0.4313937144256299,-0.19562238888727626,-0.3453013530389774,-0.6974216563490574,-0.2842447405191563,-0.24278142872509192,-0.893176995022764,-0.36564793732716183,-0.3472307067972605,-0.9479689808438787,-0.1185939613255638,-0.4623250977181783,-1.3118353137296017,-0.24442912196527025,-0.5367737777508929,-1.5594736818046664,-0.32723346256170077,-0.5866469888380879,-1.7768443588932834,-0.38181665576605844,-0.1651776852000338,-0.9862638249028292,-0.15756227520028188,-0.22831756007789825,-1.4457912923371405,-0.2937111935153691,-0.2652877128989024,-1.7311202908465284,-0.3796080608206507,-0.27627174200812255,-1.9835038232399669,-0.42546357114226563,0.025552266008810425,-0.9035570349552113,-0.21104198455540862,-0.01412091232533971,-1.0979297748444805,-0.392054536038588,-0.0986136338521407,-0.8270099919296875,-0.41133766485216067,-0.1450132899412914,-0.6058898012057751,-0.3763615909395146,0.20105567476047428,-0.7429821019097972,-0.27381518177878433,0.15871717815275374,-0.9190984777524186,-0.40317573084296054,0.0660020339199335,-0.7546071540918019,-0.38666781558377483,-0.0005025387464862449,-0.5852946905140237,-0.34487924427584643,G
0.0,0.0,0.0,-0.23961506730565257,-0.12025386439478354,-0.13001997712171315,-0.3791811056474049,-0.34499802673997826,-0.1854217905620064,-0.27592328082973444,-0.6084324423884567,-0.2231763024919862,-0.11557311110233642,-0.8028985262749032,-0.2603583398869609,-0.36841795471979233,-0.8966588358922135,-0.11736499725125532,-0.4949624274697139,-1.2961452092583112,-0.19344126151836796,-0.5563598228606478,-1.5378291607038521,-0.24983784784909452,-0.6047390108971697,-1.7582203127397016,-0.29701363249553325,-0.1947294956339924,-0.9808569842388497,-0.14130079510020502,-0.26041955800565036,-1.4645564081301299,-0.22336911254504543,-0.29912996073344766,-1.7521157717265552,-0.2930464259459154,-0.34189858349216123,-1.9997668912858253,-0.341794967626058,-0.041294356531811294,-0.9414493274669508,-0.18339826886350313,-0.043704521549396615,-1.3482332556892633,-0.30233722589140366,-0.0673847129291764,-1.61243870166014,-0.3953659120035282,-0.09744555540488875,-1.8613944964566573,-0.45479419963663714,0.10983934048922174,-0.7767934775888303,-0.2329036208294733,0.039346368939003715,-1.0353422874623082,-0.3257657593546037,-0.017313393013200215,-0.9157334145417944,-0.33264188165097497,-0.05603387045325423,-0.7485718997694883,-0.33675708677309346,C
0.0,0.0,0.0,-0.22879388125568945,-0.17123835973003096,-0.09030021749632557,-0.37702946346795446,-0.45690982459607593,-0.14226193263220527,-0.26840300995713035,-0.7246225811567429,-0.19205567102751167,-0.08393293636518759,-0.8557685761626603,-0.24265016005302562,-0.33370457816499155,-0.9118659838156993,-0.07553302703688615,-0.4667377740458612,-1.2617340445521632,-0.14948486459083513,-0.5343352998129015,-1.4790511680112903,-0.21052556954295798,-0.5779729592405716,-1.6626425417966337,-0.2601432503157241,-0.16494886304982428,-0.9863021203356354,-0.10014529621653426,-0.24823787568577083,-1.4108742281782298,-0.16295029158679086,-0.2979926150574028,-1.6701328956318882,-0.2252290322744883,-0.3354168210139357,-1.8766210947002528,-0.27224382144272785,0.007361725476468696,-0.9484789318862727,-0.13983619824675117,0.0012911706835570709,-1.3476539762864674,-0.21778886891205787,-0.015815423615821538,-1.5961123577301568,-0.29018977442833255,-0.03994751120760856,-1.803870615228661,-0.34143177919842593,0.18442100715112933,-0.8278044190917259,-0.1878674544493323,0.2595845389948377,-1.1096841818890932,-0.26235026273318957,0.2846864218570451,-1.3042233342325877,-0.3065619604216115,0.29027843223915467,-1.478694898734866,-0.3384687819473517,G
